chromatin_code,motif_type,Motif Type,A,B,C,p_value,real_count,random_mean_count,log_fold_change
12,222,I,repressed,weak,weak,0,86,1.00,3.76
21,222,I,repressed,repressed,weak,0,191,1.17,4.48
30,222,I,repressed,repressed,repressed,0,177,1.00,4.48
1002,222,I,active,weak,weak,0,116,1.00,4.06
1011,222,I,active,repressed,weak,0,209,1.05,4.62
1020,222,I,active,repressed,repressed,0,178,1.02,4.48
2001,222,I,active,active,weak,0,187,1.00,4.54
2010,222,I,active,active,repressed,0,134,1.12,4.15
3000,222,I,active,active,active,0,218,1.00,4.69
21000,211,II,weak,active,weak,0,334,241.14,0.32
200100,211,II,repressed,poised,repressed,0.014,58,33.91,0.51
10011000,211,II,active,active,weak,0,882,695.95,0.24
20001000,211,II,active,active,active,0,1254,503.45,0.91
3,222,,weak,weak,weak,0,17,0,2.833213344
102,222,,poised,weak,weak,0,3,1,0.405465108
111,222,,poised,repressed,weak,0,10,1,1.609437912
120,222,,poised,repressed,repressed,0,14,1,1.945910149
210,222,,poised,poised,repressed,0,5,1,0.916290732
1101,222,,active,poised,weak,0,6,0,1.791759469
1110,222,,active,poised,repressed,0,8,1,1.386294361
1200,222,,active,poised,poised,0,1,0,0
2100,222,,active,active,poised,0,7,0,1.945910149
20001,211,,weak,weak,weak,0.28,176,165.306,0.05665453
20010,211,,weak,repressed,weak,1,248,354.678,-0.360597081
20100,211,,weak,poised,weak,0.176,11,7.406813627,0.26885275
110001,211,,repressed,weak,weak,1,414,703.326,-0.531375343
110010,211,,repressed,repressed,weak,1,794,1506.626,-0.641208046
110100,211,,repressed,poised,weak,0.894,22,31.666,-0.395292328
111000,211,,repressed,active,weak,1,590,1024.532,-0.552844244
200001,211,,repressed,weak,repressed,1,443,752.914,-0.531708533
200010,211,,repressed,repressed,repressed,0.452,1608,1599.884,0.004435194
201000,211,,repressed,active,repressed,1,447,1085.726,-0.888366191
1010001,211,,poised,weak,weak,0.536,15,15.104,-0.071017487
1010010,211,,poised,repressed,weak,0.498,32,31.726,-0.022433966
1010100,211,,poised,poised,weak,0.162,2,1.814606742,-0.34167537
1011000,211,,poised,active,weak,0.936,14,21.572,-0.47765287
1100001,211,,poised,weak,repressed,0.7,28,31.448,-0.147434298
1100010,211,,poised,repressed,repressed,0.148,79,67.324,0.145186757
1100100,211,,poised,poised,repressed,0.132,4,2.770992366,0.058956167
1101000,211,,poised,active,repressed,0.992,27,45.518,-0.544002468
10010001,211,,active,weak,weak,0.204,505,479.622,0.049477331
10010010,211,,active,repressed,weak,1,526,1022.134,-0.665324532
10010100,211,,active,poised,weak,0.216,27,21.666,0.174970862
10100001,211,,active,weak,repressed,1,553,1024.092,-0.617179642
10100010,211,,active,repressed,repressed,1,961,2174.752,-0.817155222
10100100,211,,active,poised,repressed,0.902,33,45.918,-0.351893836
10101000,211,,active,active,repressed,1,796,1479.578,-0.620588645
11000001,211,,active,weak,poised,0.742,18,21.382,-0.217885306
11000010,211,,active,repressed,poised,0.962,33,45.616,-0.345436268
11000100,211,,active,poised,poised,0.058,4,2.039130435,0.274722928
11001000,211,,active,active,poised,0.85,25,31.182,-0.252531465
20000001,211,,active,weak,active,0.088,386,349.034,0.097807077
20000010,211,,active,repressed,active,1,315,738.21,-0.85300941
20000100,211,,active,poised,active,0.988,6,15.482,-1.010509407
2000010,211,,poised,repressed,poised,0.04,3,1.413385827,0.21758162
