motif,chromatin_motif,node1,node2,node3
211,02000100,chr1:155065980-155067918,chr1:155139266-155141275,chr1:155022050-155024096
211,02000100,chr1:155065980-155067918,chr1:155139266-155141275,chr1:155063325-155064850
211,01100100,chr1:155065980-155067918,chr1:155139266-155141275,chr1:155033362-155034885
211,02000100,chr1:110074236-110076384,chr1:110035808-110037527,chr1:109941356-109942997
211,01100100,chr1:110074236-110076384,chr1:110035808-110037527,chr1:110315719-110317217
211,02000100,chr1:110074236-110076384,chr1:109654066-109656175,chr1:110035808-110037527
211,02000100,chr1:110074236-110076384,chr1:110035808-110037527,chr1:109819510-109821003
211,01100100,chr1:110074236-110076384,chr1:110035808-110037527,chr1:110032729-110034093
211,11000010,chr17:74177549-74179265,chr17:74103089-74104460,chr17:74009742-74011386
211,11000010,chr17:74177549-74179265,chr17:74009742-74011386,chr17:74274922-74276508
211,20001000,chr6:122702002-122703538,chr6:122812541-122813960,chr6:123047244-123048663
211,01100010,chr5:141520586-141521856,chr5:141371378-141373024,chr5:141530833-141532489
211,01100010,chr5:141371378-141373024,chr5:141070972-141072781,chr5:141530833-141532489
211,10100010,chr5:141966215-141967858,chr5:141371378-141373024,chr5:141530833-141532489
211,10101000,chr5:141966215-141967858,chr5:142034686-142036431,chr5:141530833-141532489
211,10101000,chr5:141966215-141967858,chr5:141990046-141991623,chr5:141530833-141532489
211,02000100,chr11:67029605-67031094,chr11:67032933-67034471,chr11:67084125-67085960
211,01100100,chr11:67029605-67031094,chr11:67149328-67151005,chr11:67084125-67085960
222,00000300,chr11:67029605-67031094,chr11:67084125-67085960,chr11:67055486-67057229
211,02000010,chr11:67029605-67031094,chr11:67149328-67151005,chr11:67118126-67119621
211,02000010,chr11:67029605-67031094,chr11:67149328-67151005,chr11:67123734-67125515
211,01100100,chr11:67029605-67031094,chr11:67149328-67151005,chr11:67055486-67057229
211,02000100,chr11:67029605-67031094,chr11:67032933-67034471,chr11:67055486-67057229
211,11001000,chr3:44239479-44241093,chr3:43585088-43586578,chr3:43810189-43811987
211,11000010,chr17:28257659-28259385,chr17:28419760-28421608,chr17:28353095-28354561
222,00001110,chr17:28347782-28349756,chr17:28257659-28259385,chr17:28419760-28421608
222,00001110,chr17:28133891-28135684,chr17:28257659-28259385,chr17:28419760-28421608
211,00200100,chr17:28257659-28259385,chr17:28419760-28421608,chr17:28105508-28107152
211,02001000,chr17:28257659-28259385,chr17:27906719-27908315,chr17:28347782-28349756
211,02001000,chr17:28257659-28259385,chr17:28347782-28349756,chr17:27945771-27948030
222,00002100,chr17:28133891-28135684,chr17:28257659-28259385,chr17:28347782-28349756
211,10100100,chr17:28257659-28259385,chr17:28347782-28349756,chr17:28105508-28107152
211,11001000,chr17:28257659-28259385,chr17:28133891-28135684,chr17:28353095-28354561
211,10100100,chr17:28257659-28259385,chr17:28133891-28135684,chr17:28105508-28107152
211,02000010,chr17:28257659-28259385,chr17:27906719-27908315,chr17:28105508-28107152
211,02000010,chr17:28257659-28259385,chr17:28105508-28107152,chr17:27945771-27948030
211,02000010,chr17:27892219-27893958,chr17:28257659-28259385,chr17:28105508-28107152
211,00200010,chr5:154029153-154030896,chr5:154346516-154347915,chr5:154324757-154326174
211,10101000,chr14:96026632-96028416,chr14:96240100-96241598,chr14:96741165-96742865
211,20001000,chr14:96149598-96151033,chr14:96026632-96028416,chr14:96240100-96241598
211,20001000,chr14:96026632-96028416,chr14:96240100-96241598,chr14:95908191-95909769
211,20001000,chr14:95892868-95894138,chr14:96026632-96028416,chr14:96240100-96241598
211,20001000,chr14:96026632-96028416,chr14:96240100-96241598,chr14:96460085-96461665
211,20001000,chr14:96026632-96028416,chr14:96240100-96241598,chr14:96445599-96446882
211,11001000,chr17:47511850-47513471,chr17:47625360-47626881,chr17:47646555-47648377
211,02000100,chr2:73403735-73405658,chr2:73114014-73115921,chr2:73088816-73090584
211,11000100,chr2:73086294-73087815,chr2:73114014-73115921,chr2:73088816-73090584
211,11000100,chr2:73390079-73391803,chr2:73114014-73115921,chr2:73088816-73090584
211,11000100,chr2:73114014-73115921,chr2:73088816-73090584,chr2:72832430-72834051
222,00001200,chr2:73114014-73115921,chr2:72997289-72999091,chr2:73088816-73090584
211,20000100,chr2:72832430-72834051,chr2:72997289-72999091,chr2:73088816-73090584
211,11001000,chr2:73086294-73087815,chr2:72997289-72999091,chr2:73088816-73090584
211,02000100,chr3:124283203-124284773,chr3:124619433-124621095,chr3:124504971-124506690
211,02000100,chr3:124704576-124706432,chr3:124619433-124621095,chr3:124504971-124506690
211,02000100,chr3:124479393-124481193,chr3:124619433-124621095,chr3:124504971-124506690
211,20001000,chr22:22560143-22563080,chr22:22510560-22512040,chr22:22928877-22930267
211,20001000,chr22:22560143-22563080,chr22:22928877-22930267,chr22:22675749-22677249
211,20001000,chr22:22560143-22563080,chr22:22510560-22512040,chr22:22763135-22764481
211,20001000,chr22:22560143-22563080,chr22:22510560-22512040,chr22:22675749-22677249
222,00000210,chr16:47175087-47178103,chr16:46981031-46982826,chr16:47071100-47072878
211,01100010,chr16:47175087-47178103,chr16:46706748-46708252,chr16:46981031-46982826
211,20000100,chr20:2667981-2669568,chr20:2832196-2833716,chr20:2723202-2724636
211,10100100,chr20:62245010-62246319,chr20:62751263-62752768,chr20:62168490-62170434
222,00001200,chr20:62669386-62671268,chr20:62751263-62752768,chr20:62168490-62170434
211,11001000,chr20:62762293-62763652,chr20:62751263-62752768,chr20:62168490-62170434
222,00001200,chr20:62751263-62752768,chr20:62168490-62170434,chr20:62604430-62606197
211,10100100,chr20:62688544-62690009,chr20:62751263-62752768,chr20:62669386-62671268
211,11001000,chr20:62762293-62763652,chr20:62751263-62752768,chr20:62669386-62671268
211,02001000,chr20:62751263-62752768,chr20:62669386-62671268,chr20:62604430-62606197
211,11001000,chr20:62751263-62752768,chr20:62762293-62763652,chr20:62604430-62606197
211,10100100,chr20:62540453-62541950,chr20:62751263-62752768,chr20:62604430-62606197
222,00000300,chr15:71103821-71105316,chr15:71014368-71016058,chr15:70971342-70973071
211,02000100,chr15:71014368-71016058,chr15:71116785-71118413,chr15:70971342-70973071
211,02000100,chr15:71103821-71105316,chr15:71116785-71118413,chr15:70971342-70973071
211,02000100,chr15:71265796-71267727,chr15:71116785-71118413,chr15:70971342-70973071
211,00200100,chr5:143521141-143522776,chr5:143562207-143563995,chr5:143347043-143348617
211,01100010,chr5:143521141-143522776,chr5:143203927-143205602,chr5:143347043-143348617
211,10100100,chr11:76547149-76548388,chr11:76444166-76445846,chr11:76517845-76519577
211,10100100,chr11:76547149-76548388,chr11:76801468-76803235,chr11:76517845-76519577
211,02000010,chr11:76547149-76548388,chr11:76517845-76519577,chr11:76520684-76522190
211,10100100,chr11:76547149-76548388,chr11:76444166-76445846,chr11:76520684-76522190
211,10100100,chr11:76547149-76548388,chr11:76801468-76803235,chr11:76520684-76522190
211,20000010,chr13:45620882-45622531,chr13:46734070-46735601,chr13:46084986-46086850
211,10101000,chr13:46734070-46735601,chr13:46084986-46086850,chr13:46381040-46382553
211,20001000,chr13:46734070-46735601,chr13:46197112-46198640,chr13:46381040-46382553
211,02000100,chr12:39495886-39498384,chr12:38709383-38711099,chr12:38531946-38533454
211,11000100,chr12:39495886-39498384,chr12:39314279-39316088,chr12:38531946-38533454
211,01100100,chr12:38721506-38723062,chr12:39495886-39498384,chr12:38531946-38533454
211,10100100,chr12:38721506-38723062,chr12:39495886-39498384,chr12:39314279-39316088
211,10101000,chr9:75814354-75816555,chr9:75696336-75697934,chr9:75485940-75487815
222,00003000,chr9:75696336-75697934,chr9:75637109-75638892,chr9:75485940-75487815
211,20001000,chr9:75471354-75473028,chr9:75696336-75697934,chr9:75637109-75638892
211,00200100,chr1:214800671-214802563,chr1:214504661-214507201,chr1:215779369-215781007
211,10100100,chr1:214800671-214802563,chr1:214386622-214388444,chr1:215779369-215781007
211,01100100,chr1:214434118-214435991,chr1:214800671-214802563,chr1:215779369-215781007
211,02001000,chr11:17375095-17376963,chr11:17251038-17252629,chr11:17525407-17527083
222,00001110,chr11:17375095-17376963,chr11:17404833-17406385,chr11:17525407-17527083
211,02001000,chr11:16809155-16810805,chr11:17375095-17376963,chr11:17525407-17527083
222,00001110,chr11:17251038-17252629,chr11:17525407-17527083,chr11:17404833-17406385
211,02001000,chr11:16809155-16810805,chr11:17251038-17252629,chr11:17525407-17527083
211,20000010,chr11:17549056-17550653,chr11:17404833-17406385,chr11:17525407-17527083
211,01101000,chr11:16809155-16810805,chr11:17404833-17406385,chr11:17525407-17527083
211,20000100,chr11:16809155-16810805,chr11:17084218-17085854,chr11:17525407-17527083
211,01100100,chr20:52555810-52557304,chr20:52531195-52533364,chr20:52485772-52487409
222,00000210,chr20:52194458-52196704,chr20:52531195-52533364,chr20:52485772-52487409
211,00200100,chr20:52194458-52196704,chr20:52559693-52561203,chr20:52485772-52487409
211,01100100,chr20:52194458-52196704,chr20:52444353-52446195,chr20:52485772-52487409
211,01100100,chr20:52194458-52196704,chr20:52555810-52557304,chr20:52485772-52487409
211,20001000,chr11:19574708-19576249,chr11:19280617-19282298,chr11:19097921-19099447
211,20001000,chr11:19574708-19576249,chr11:19280617-19282298,chr11:19924553-19925987
222,00003000,chr11:19574708-19576249,chr11:19280617-19282298,chr11:19332303-19333821
211,10101000,chr11:19574708-19576249,chr11:19280617-19282298,chr11:19821328-19823430
222,00003000,chr11:19574708-19576249,chr11:19097921-19099447,chr11:19924553-19925987
211,20001000,chr11:19574708-19576249,chr11:19332303-19333821,chr11:19097921-19099447
211,10101000,chr11:19574708-19576249,chr11:19821328-19823430,chr11:19097921-19099447
211,11001000,chr11:19574708-19576249,chr11:19584805-19586513,chr11:19924553-19925987
211,20001000,chr11:19574708-19576249,chr11:19578660-19580175,chr11:19924553-19925987
211,20001000,chr11:19574708-19576249,chr11:19332303-19333821,chr11:19924553-19925987
222,00002010,chr11:19574708-19576249,chr11:19821328-19823430,chr11:19924553-19925987
211,10101000,chr11:19574708-19576249,chr11:19821328-19823430,chr11:19332303-19333821
211,11000010,chr11:19574708-19576249,chr11:19584805-19586513,chr11:19821328-19823430
211,20000010,chr11:19574708-19576249,chr11:19821328-19823430,chr11:19578660-19580175
211,20001000,chr4:115307161-115308789,chr4:115305263-115306635,chr4:115579864-115581473
211,20001000,chr4:115307161-115308789,chr4:115615252-115616896,chr4:115579864-115581473
211,20001000,chr4:115307161-115308789,chr4:115728429-115729866,chr4:115579864-115581473
211,20001000,chr4:115307161-115308789,chr4:115305263-115306635,chr4:115615252-115616896
211,20001000,chr4:115307161-115308789,chr4:115728429-115729866,chr4:115615252-115616896
211,00201000,chr2:24046890-24048693,chr2:24283230-24284659,chr2:24306216-24308398
211,20000010,chr2:24046890-24048693,chr2:24306216-24308398,chr2:24604740-24606259
211,02000010,chr12:48108513-48110071,chr12:48172473-48174026,chr12:48098695-48100598
211,00200100,chr12:48108513-48110071,chr12:48160391-48161856,chr12:48172473-48174026
211,00201000,chr5:13976226-13977959,chr5:14351604-14353184,chr5:14398541-14400226
222,00001110,chr5:13976226-13977959,chr5:14363530-14365864,chr5:14351604-14353184
222,00002010,chr5:13976226-13977959,chr5:14648078-14649780,chr5:14351604-14353184
211,00200100,chr5:14363530-14365864,chr5:14108073-14109843,chr5:14351604-14353184
222,00001110,chr5:14363530-14365864,chr5:14351604-14353184,chr5:14648078-14649780
211,10101000,chr5:14648078-14649780,chr5:14325864-14327252,chr5:14351604-14353184
211,00201000,chr5:14648078-14649780,chr5:14351604-14353184,chr5:14398541-14400226
211,20001000,chr1:197583738-197585199,chr1:197587435-197589206,chr1:197892917-197895029
211,11001000,chr1:198433788-198435702,chr1:197587435-197589206,chr1:197892917-197895029
211,11001000,chr1:198056707-198058855,chr1:197587435-197589206,chr1:197892917-197895029
211,20000100,chr1:198433788-198435702,chr1:197583738-197585199,chr1:197587435-197589206
222,00001200,chr1:198433788-198435702,chr1:198056707-198058855,chr1:197587435-197589206
211,02000100,chr15:91236234-91237852,chr15:91190727-91192612,chr15:91476974-91478427
211,20001000,chr11:95496887-95498446,chr11:96126294-96127989,chr11:94887144-94888524
211,11001000,chr11:95496887-95498446,chr11:96126294-96127989,chr11:94884091-94885892
211,10101000,chr11:95496887-95498446,chr11:96126294-96127989,chr11:95581519-95583299
211,20000010,chr11:96126294-96127989,chr11:95701217-95702717,chr11:95581519-95583299
211,11001000,chr18:60682979-60684389,chr18:60989557-60991210,chr18:61510893-61512423
211,01101000,chr18:60682979-60684389,chr18:60989557-60991210,chr18:61408480-61409962
211,20000100,chr18:60682979-60684389,chr18:60989557-60991210,chr18:60797795-60799263
211,20000100,chr18:60682979-60684389,chr18:60989557-60991210,chr18:60786228-60787798
211,20000100,chr18:60989557-60991210,chr18:60786228-60787798,chr18:60797795-60799263
211,02001000,chr18:60989557-60991210,chr18:60786228-60787798,chr18:60822060-60823608
211,20000100,chr19:33906608-33908083,chr19:33920954-33922533,chr19:33725583-33727142
211,11000100,chr19:33667331-33669455,chr19:33920954-33922533,chr19:33725583-33727142
211,10100100,chr19:33920954-33922533,chr19:33725583-33727142,chr19:33616161-33617857
211,20000100,chr19:33920954-33922533,chr19:33725583-33727142,chr19:33897186-33898697
211,11001000,chr19:33920954-33922533,chr19:33725583-33727142,chr19:34261886-34263382
211,20001000,chr19:33920954-33922533,chr19:33906608-33908083,chr19:34261886-34263382
211,20001000,chr19:33920954-33922533,chr19:33897186-33898697,chr19:34261886-34263382
211,20001000,chr19:33920954-33922533,chr19:34211462-34212864,chr19:34261886-34263382
211,20000010,chr11:18672170-18673670,chr11:18136435-18138057,chr11:18561090-18562739
211,20000010,chr11:18752859-18754404,chr11:18136435-18138057,chr11:18561090-18562739
211,10101000,chr11:18166058-18167455,chr11:18136435-18138057,chr11:18561090-18562739
211,10101000,chr11:18823512-18825155,chr11:18136435-18138057,chr11:18561090-18562739
211,20001000,chr11:18823512-18825155,chr11:18136435-18138057,chr11:18166058-18167455
211,20001000,chr11:18823512-18825155,chr11:18136435-18138057,chr11:18796724-18798298
211,11000100,chr11:8284636-8286486,chr11:8246522-8248090,chr11:8268311-8269843
211,11000100,chr11:8284636-8286486,chr11:8120141-8121847,chr11:8246522-8248090
211,11000100,chr11:8284636-8286486,chr11:8587456-8589227,chr11:8246522-8248090
211,11001000,chr11:8027166-8028910,chr11:8587456-8589227,chr11:8246522-8248090
211,02001000,chr11:8349635-8351351,chr11:8587456-8589227,chr11:8246522-8248090
211,11001000,chr11:8587456-8589227,chr11:8246522-8248090,chr11:8359048-8360516
211,11001000,chr11:8587456-8589227,chr11:8246522-8248090,chr11:8268311-8269843
211,11001000,chr11:8587456-8589227,chr11:8240274-8241741,chr11:8246522-8248090
211,11001000,chr11:8587456-8589227,chr11:8120141-8121847,chr11:8246522-8248090
211,11000010,chr8:40058659-40060305,chr8:40110028-40111623,chr8:39890875-39892841
211,11000010,chr8:39852645-39854020,chr8:40058659-40060305,chr8:39890875-39892841
