motif,chromatin_motif,node1,node2,node3,node4
2211,101010100000,chr12:121990007-121991472,chr12:122674815-122676312,chr12:122119431-122120891,chr12:122062035-122063502
2211,100110100000,chr12:121990007-121991472,chr12:122119431-122120891,chr12:121937107-121938569,chr12:122062035-122063502
3111,201000000010,chr12:121990007-121991472,chr12:122105985-122107470,chr12:122119431-122120891,chr12:122062035-122063502
2211,101010100000,chr12:122354185-122355570,chr12:121990007-121991472,chr12:122674815-122676312,chr12:122119431-122120891
2211,001110100000,chr12:121990007-121991472,chr12:122674815-122676312,chr12:122119431-122120891,chr12:122491732-122493256
2211,101010100000,chr12:121990007-121991472,chr12:122674815-122676312,chr12:122119431-122120891,chr12:122614914-122616452
3221,001000111000,chr12:121990007-121991472,chr12:122674815-122676312,chr12:122119431-122120891,chr12:121937107-121938569
2211,002010100000,chr12:121990007-121991472,chr12:122674815-122676312,chr12:122105985-122107470,chr12:122119431-122120891
2211,001110100000,chr12:121990007-121991472,chr12:122105985-122107470,chr12:122119431-122120891,chr12:121937107-121938569
2211,100110100000,chr1:167410832-167412289,chr1:167656587-167658058,chr1:167524785-167526277,chr1:167369747-167371498
2211,001110010000,chr1:167410832-167412289,chr1:167236522-167238053,chr1:167656587-167658058,chr1:167369747-167371498
3221,001000111000,chr10:91148442-91149963,chr10:91019352-91021524,chr10:91185365-91187086,chr10:91323011-91324659
3111,002100001000,chr10:91148442-91149963,chr10:91019352-91021524,chr10:91323011-91324659,chr10:91128581-91130376
2211,002010010000,chr10:91148442-91149963,chr10:91019352-91021524,chr10:91185365-91187086,chr10:91052736-91053971
3111,001200001000,chr10:91148442-91149963,chr10:91019352-91021524,chr10:91185365-91187086,chr10:91128581-91130376
3221,001010100001,chr10:91052736-91053971,chr10:91019352-91021524,chr10:91185365-91187086,chr10:91323011-91324659
3221,000100111000,chr10:91019352-91021524,chr10:91185365-91187086,chr10:91323011-91324659,chr10:91128581-91130376
2211,001110010000,chr10:91019352-91021524,chr10:91185365-91187086,chr10:91052736-91053971,chr10:91128581-91130376
