from_name,to_name,from_broad_state,to_broad_state
chr1:37919801-37921471,chr1:38147315-38149061,active,active
chr1:38085887-38088644,chr1:38147315-38149061,repressed,active
chr1:37468092-37469352,chr1:38147315-38149061,repressed,active
chr1:38068054-38069586,chr1:38147315-38149061,repressed,active
chr1:38026811-38028353,chr1:38147315-38149061,weak,active
chr1:37919801-37921471,chr1:37952302-37953972,active,active
chr1:37919801-37921471,chr1:38026811-38028353,active,weak
chr1:37919801-37921471,chr1:38085887-38088644,active,repressed
chr1:38068054-38069586,chr1:38085887-38088644,repressed,repressed
chr1:38026811-38028353,chr1:38085887-38088644,weak,repressed
chr5:134888988-134890465,chr5:134901321-134902708,active,repressed
chr5:134801248-134802696,chr5:134901321-134902708,repressed,repressed
chr5:134888988-134890465,chr5:135165148-135166695,active,repressed
chr5:134792616-134794105,chr5:135165148-135166695,weak,repressed
chr5:134895871-134897448,chr5:135165148-135166695,repressed,repressed
chr18:1585337-1586906,chr18:2546756-2548427,repressed,weak
chr11:71735614-71737312,chr11:71801596-71803384,active,active
chr11:71735614-71737312,chr11:72124404-72126144,active,weak
chr11:71735614-71737312,chr11:71854250-71857040,active,active
chr11:71735614-71737312,chr11:71892324-71895368,active,weak
chr11:71687953-71689685,chr11:71892324-71895368,weak,weak
chr11:71801596-71803384,chr11:71892324-71895368,active,weak
chr11:71854250-71857040,chr11:71892324-71895368,active,weak
chr11:72435514-72437300,chr11:72559341-72560864,weak,repressed
chr8:30775825-30777496,chr8:31042241-31043756,repressed,repressed
chr8:30404104-30405783,chr8:31042241-31043756,active,repressed
chr8:30775825-30777496,chr8:30964205-30965904,repressed,weak
chr8:30523712-30525246,chr8:30964205-30965904,repressed,weak
chr8:31108967-31110521,chr8:31321428-31322858,repressed,repressed
chr5:148760895-148762544,chr5:148943791-148945302,repressed,active
chr5:148112594-148114021,chr5:148943791-148945302,weak,active
chr5:148813456-148814933,chr5:148943791-148945302,repressed,active
chr5:148760895-148762544,chr5:148813456-148814933,repressed,repressed
chr5:148696238-148697661,chr5:148813456-148814933,active,repressed
chr5:148746468-148748033,chr5:148813456-148814933,active,repressed
chr7:141454277-141455605,chr7:141485247-141486646,weak,repressed
chr7:141353716-141355179,chr7:141485247-141486646,weak,repressed
chr9:37913024-37914629,chr9:38400043-38401577,weak,repressed
chr9:38333767-38335123,chr9:38400043-38401577,repressed,repressed
chr9:38370928-38372416,chr9:38400043-38401577,repressed,repressed
chr9:37913024-37914629,chr9:38066913-38069443,weak,active
chr9:37913024-37914629,chr9:38362493-38363948,weak,repressed
chr9:37913024-37914629,chr9:38160055-38161579,weak,repressed
chr9:37913024-37914629,chr9:38333767-38335123,weak,repressed
chr2:71327029-71328700,chr2:71736697-71738342,repressed,repressed
chr2:71525896-71527599,chr2:71736697-71738342,repressed,repressed
chr2:71450531-71452081,chr2:71736697-71738342,repressed,repressed
chr2:71687372-71688883,chr2:71736697-71738342,weak,repressed
chr2:75280169-75281622,chr2:75630391-75632084,repressed,repressed
chr17:15163423-15164981,chr17:15405585-15407069,active,weak
chr17:15160054-15161676,chr17:15405585-15407069,active,weak
chr2:20214692-20216353,chr2:20292855-20294266,repressed,weak
chr17:25820700-25822488,chr17:25926236-25927716,active,repressed
chr17:25680235-25681887,chr17:25926236-25927716,active,repressed
chr17:25782343-25783853,chr17:25926236-25927716,active,repressed
chr17:25563034-25564823,chr17:25926236-25927716,repressed,repressed
chr1:156861514-156862942,chr1:156895644-156898441,active,repressed
chr1:156694887-156697233,chr1:156895644-156898441,weak,repressed
chr1:156861514-156862942,chr1:156930833-156932471,active,active
chr1:156766497-156768091,chr1:156930833-156932471,active,active
chr1:156879475-156881081,chr1:156930833-156932471,repressed,active
chr1:156861514-156862942,chr1:156889617-156891045,active,active
chr16:67137561-67138919,chr16:67188730-67190242,weak,repressed
chr16:67010947-67012510,chr16:67188730-67190242,weak,repressed
chr16:66980428-66982058,chr16:67188730-67190242,weak,repressed
chr16:67051136-67052768,chr16:67188730-67190242,repressed,repressed
chr16:67010947-67012510,chr16:67218698-67220282,weak,active
chr16:67051136-67052768,chr16:67218698-67220282,repressed,active
chr10:2969889-2971457,chr10:3019651-3021212,active,repressed
chr10:2980547-2981961,chr10:3019651-3021212,repressed,repressed
chr10:2969889-2971457,chr10:3085055-3086785,active,active
chr10:2980547-2981961,chr10:3085055-3086785,repressed,active
chr7:30203560-30205040,chr7:30603184-30604937,repressed,weak
chr7:30587764-30589322,chr7:30603184-30604937,repressed,weak
chr7:30265873-30267545,chr7:30603184-30604937,weak,weak
chr7:30203560-30205040,chr7:30451843-30453598,repressed,repressed
chr7:30265873-30267545,chr7:30451843-30453598,weak,repressed
chr7:30100894-30103153,chr7:30451843-30453598,weak,repressed
chr7:30113448-30114983,chr7:30451843-30453598,repressed,repressed
chr7:30203560-30205040,chr7:30265873-30267545,repressed,weak
chr1:192442654-192444160,chr1:193000005-193001520,repressed,weak
chr1:192445763-192447763,chr1:193000005-193001520,active,weak
chr1:192774283-192775906,chr1:193000005-193001520,weak,weak
chr1:192442654-192444160,chr1:192548767-192550503,repressed,repressed
chr1:192445763-192447763,chr1:192548767-192550503,active,repressed
chr1:192442654-192444160,chr1:192578574-192580400,repressed,weak
chr1:192445763-192447763,chr1:192578574-192580400,active,weak
chr1:192548767-192550503,chr1:192578574-192580400,repressed,weak
chr8:86363095-86364948,chr8:87044696-87046382,repressed,repressed
chr8:86209008-86210511,chr8:87044696-87046382,repressed,repressed
chr10:88108699-88110131,chr10:88136410-88138035,repressed,active
chr10:88021086-88022513,chr10:88136410-88138035,active,active
chr10:87755069-87756434,chr10:88136410-88138035,repressed,active
chr10:88084469-88085745,chr10:88136410-88138035,repressed,active
chr11:8054126-8055653,chr11:8120141-8121847,active,repressed
chr11:8027166-8028910,chr11:8120141-8121847,repressed,repressed
chr11:8054126-8055653,chr11:8113563-8115149,active,active
chr11:8027166-8028910,chr11:8113563-8115149,repressed,active
chr6:27486032-27488103,chr6:27576347-27577984,active,active
chr6:27129087-27130822,chr6:27758566-27761074,active,active
chr6:27739449-27741292,chr6:27758566-27761074,active,active
chr6:27181828-27183406,chr6:27758566-27761074,active,active
chr6:27124721-27126613,chr6:27758566-27761074,active,active
chr6:27129087-27130822,chr6:27763057-27764504,active,weak
chr6:27739449-27741292,chr6:27763057-27764504,active,weak
chr6:27486032-27488103,chr6:27763057-27764504,active,weak
chr1:202469769-202471308,chr1:202594024-202595432,weak,poised
chr1:202469769-202471308,chr1:202568592-202570251,weak,repressed
chr1:202432695-202434166,chr1:202568592-202570251,weak,repressed
chr1:202540390-202541851,chr1:202568592-202570251,weak,repressed
chr1:202895159-202896964,chr1:202967778-202969323,active,active
chr1:202937601-202939052,chr1:202967778-202969323,active,active
chr20:49608997-49610457,chr20:49922735-49924371,repressed,repressed
chr20:49603666-49605222,chr20:49922735-49924371,poised,repressed
